file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,30
style.css,2,css,186b1357,efastovsky,2025-01-17,12:20:41,-08:00,2025-01-17T12:20:41-08:00,0,5
style.css,3,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,66
style.css,4,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,42
style.css,5,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,76
style.css,6,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,56
style.css,7,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,49
style.css,8,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,0
style.css,9,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,0
style.css,10,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,31
style.css,11,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,6
style.css,12,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,18
style.css,13,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,14,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,15,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,23
style.css,16,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,4
style.css,17,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,45
style.css,18,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,63
style.css,19,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,49
style.css,20,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,67
style.css,21,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,56
style.css,22,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,23,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,24,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,7
style.css,25,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,52
style.css,26,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,27,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,28,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,7
style.css,29,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,48
style.css,30,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,31,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,32,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,6
style.css,33,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,44
style.css,34,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,49
style.css,35,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,55
style.css,36,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,57
style.css,37,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,76
style.css,38,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,39,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,40,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,12
style.css,41,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,59
style.css,42,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,52
style.css,43,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,44,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,45,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,14
style.css,46,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,59
style.css,47,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,52
style.css,48,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,49,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,50,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,20
style.css,51,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,3
style.css,52,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,47
style.css,53,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,49
style.css,54,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,50
style.css,55,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,56,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,57,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,3
style.css,58,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,49
style.css,59,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,42
style.css,60,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,38
style.css,61,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,49
style.css,62,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
